species	group	category	fold	from	to	delta	PiS	PiN	PiNPiS	syn_counts	nsyn_counts	Lsyn	Lnsyn	TD4	TD0	GC3	gradient	eps	Sd	beta	pb	Sb	alpha	D1	D2	D3	D4
Qv	tree	0:EXDEL-EXDEL	0	-3	-3	0	0.012283447	0.001948574	0.1586341	199	21	3834	3144	-0.6660232	0.1334906	0.4209251	0.00005	0.023690197	-4162.130267	4.276557342	0.032191487	46.27196463	1	8.77E-18	1.65E-13	3.07E-09	0.96780851
Qv	tree	0:EXDEL-STABLE	0	-3	0	3	0.012588146	0.657287248	52.2147762	9560	1888	188435	1005	-0.5024952	1.0117187	0.4738499	0.0083	3.21E-08	-15.48804618	0.011499032	0.989999995	49.99999306	0.999813	0.009746266	0.000205632	4.81E-05	2.53E-08
Qv	tree	0:EXDEL-TOL	0	-3	-1	2	0.014433584	0.206829865	14.3297649	1168	120	21000	215	-0.3324117	1.2974108	0.4451795	0.00025	0.000170567	-22.0298749	0.010136048	0.989976509	49.98211465	0.999812	0.00976596	0.000194272	6.31E-05	2.06E-07
Qv	tree	0:STABLE-DEL	0	0	-2	-2	0.008907224	0.002575026	0.2890941	88545	49920	2306130	3936670	-0.7429097	-1.1736012	0.4756488	0.00014	0.022451239	-42.12877093	0.528471616	2.19E-05	0.162433478	0.000183	0.154786845	0.331839244	0.48135007	0.032001928
Qv	tree	0:STABLE-EXDEL	0	0	-3	-3	0.009241445	0.001307936	0.1415294	81688	60314	2049156	8949504	-0.7453372	-1.3075172	0.4770125	0.00014	0.000654402	-199.8612488	0.530936783	4.67E-06	0.045272972	0.000084	0.067526725	0.15824944	0.437141471	0.337077697
Qv	tree	0:STABLE-STABLE	0	0	0	0	0.013771666	0.008340475	0.6056257	1485	141	25974	4115	-0.6095806	-0.5640094	0.442758	0.00006	0.000538204	-3345.943884	2.479921175	0.479791495	5.848897821	1	2.91E-10	8.73E-08	2.59E-05	0.520182547
Qv	tree	0:STABLE-TOL	0	0	-1	-1	0.008313041	0.004764147	0.5730932	102335	90568	2854434	4179071	-0.7445536	-0.9239269	0.4759426	0.00022	0.072287697	-9.037683494	0.408058951	0.000332447	0.004183857	0.000972	0.44481009	0.449057968	0.105797841	1.65E-06
Qv	tree	0:TOL-DEL	0	-1	-2	-1	0.010485305	0.003053374	0.2912051	46917	10471	1046067	729095	-0.7161547	-1.0313418	0.4663763	0.00021	0.069760274	-113.2209977	0.37702284	4.25E-05	0.985857982	0.000487	0.188699869	0.251329373	0.428696068	0.131232184
Qv	tree	0:TOL-EXDEL	0	-1	-3	-2	0.011496545	0.00117735	0.102409	26338	4142	537518	695925	-0.7035421	-1.2511916	0.4607315	0.00004	0.033511456	-572.2099138	0.469030409	1.19E-05	0.00016854	0.00026	0.057428116	0.110831472	0.303555376	0.528173093
Qv	tree	0:TOL-STABLE	0	-1	0	1	0.009824169	0.012723203	1.295092	68910	22772	1636133	461095	-0.7239983	-0.3610673	0.4686607	0.00124	0.091417768	-2146.39469	2.143305052	0.989961278	49.99729133	1	3.17E-10	4.36E-08	5.89E-06	0.010032787
Qv	tree	0:TOL-TOL	0	-1	-1	0	0.008827817	0.00578101	0.654863	86574	53581	2279734	2162107	-0.7358386	-0.7236882	0.4738605	0.00074	0.000700593	-4238.050846	0.36501893	0.568179576	0.367226946	0.975371	0.023016038	0.030293261	0.06953798	0.308973145
Qd	tree	0:DEL-DEL	0	-2	-2	0	0.02204874	0.009399211	0.4262925	8998	1124	189961	56104	0.4097798	0.46419187	0.450941	0.00008	0.000742493	-4800.3698	0.465207848	0.350863357	2.085007069	0.987471	0.014207173	0.027236389	0.07880721	0.528885871
Qd	tree	0:DEL-EXDEL	0	-2	-3	-1	0.02164819	0.003196701	0.14766597	7358	888	156980	118518	0.3557951	-0.1681446	0.45981	0.00006	6.82E-06	-4987.430528	0.22859165	5.78E-05	0.049635558	0.000512	0.156710813	0.108471685	0.18220538	0.55255431
Qd	tree	0:DEL-STABLE	0	-2	0	2	0.02282694	0.120870851	5.29509643	36222	6715	747088	30652	0.4891708	1.69390236	0.4617522	0.00051	0.012538776	-1439.875701	0.010482884	0.989980703	49.97173122	0.99982	0.009339305	0.000227553	0.000227496	0.000224942
Qd	tree	0:DEL-TOL	0	-2	-1	1	0.0250926	0.035706389	1.42298461	16451	2027	309653	29849	0.5114922	1.30735693	0.4516295	0.00007	0.018332495	-4865.662315	4.559591338	0.543400777	49.92365901	1	1.22E-19	4.42E-15	1.58E-10	0.456599223
